time,Open,High,Low,Close,Volume
2016-11-08 00:00:00-05:00,41.37,41.85,41.02,41.7,5238268
2016-11-09 00:00:00-05:00,40.76,42.44,40.44,42.41,7574113
2016-11-10 00:00:00-05:00,42.71,43.39,41.72,41.85,7585314
2016-11-11 00:00:00-05:00,41.63,42.5,41.25,42.47,5903540
2016-11-14 00:00:00-05:00,42.59,43.48,42.52,43.4,6769656
2016-11-15 00:00:00-05:00,45.0,45.28,43.59,44.28,12014232
2016-11-16 00:00:00-05:00,44.19,44.49,43.46,44.45,5680880
2016-11-17 00:00:00-05:00,44.39,45.85,44.05,45.82,7656513
2016-11-18 00:00:00-05:00,46.15,46.49,45.62,46.26,7014232
2016-11-21 00:00:00-05:00,46.46,46.75,45.95,46.09,5825568
2016-11-22 00:00:00-05:00,46.03,46.95,45.95,46.08,5151598
2016-11-23 00:00:00-05:00,46.05,46.39,45.7,46.34,4426039
2016-11-25 00:00:00-05:00,46.34,46.86,46.3,46.82,2076857
2016-11-28 00:00:00-05:00,46.64,46.885,45.17,46.01,6258114
2016-11-29 00:00:00-05:00,46.09,46.64,45.68,46.39,4079224
2016-11-30 00:00:00-05:00,45.65,46.36,44.94,45.95,6047196
2016-12-01 00:00:00-05:00,45.71,47.09,45.17,45.26,6547153
2016-12-02 00:00:00-05:00,45.59,46.35,45.41,45.61,5638750
2016-12-05 00:00:00-05:00,45.96,46.05,45.11,45.72,3997983
2016-12-06 00:00:00-05:00,46.16,46.485,45.49,46.45,4326569
2016-12-07 00:00:00-05:00,46.61,48.935,46.52,48.65,8619766
2016-12-08 00:00:00-05:00,48.6,48.6,47.46,47.54,5472155
2016-12-09 00:00:00-05:00,48.73,50.1,48.22,49.64,8770237
2016-12-12 00:00:00-05:00,49.16,49.34,46.95,47.08,7656322
2016-12-13 00:00:00-05:00,47.95,48.49,47.71,47.84,5239261
2016-12-14 00:00:00-05:00,47.84,48.75,47.31,47.41,4397717
2016-12-15 00:00:00-05:00,47.59,49.42,47.59,48.3,6299267
2016-12-16 00:00:00-05:00,48.61,49.07,47.06,47.12,6007678
2016-12-19 00:00:00-05:00,47.37,48.07,47.22,48.06,4163457
2016-12-20 00:00:00-05:00,47.98,48.97,47.98,48.7,4205624
2016-12-21 00:00:00-05:00,48.82,49.9,48.71,48.94,3368344
2016-12-22 00:00:00-05:00,48.82,48.92,47.94,48.17,2901305
2016-12-23 00:00:00-05:00,48.09,48.64,47.77,48.48,2537154
2016-12-27 00:00:00-05:00,48.36,48.92,47.98,48.09,2413434
2016-12-28 00:00:00-05:00,48.21,48.31,47.1,47.67,3661813
2016-12-29 00:00:00-05:00,47.8,48.0,46.66,46.75,3277709
2016-12-30 00:00:00-05:00,46.92,47.15,45.98,46.19,3470248
2017-01-03 00:00:00-05:00,46.78,46.84,45.64,45.81,6002267
2017-01-04 00:00:00-05:00,46.13,47.0,45.86,46.7,4880457
2017-01-05 00:00:00-05:00,46.52,46.7,45.12,45.9,5892814
2017-01-06 00:00:00-05:00,45.85,46.635,44.99,45.72,6520645
2017-01-09 00:00:00-05:00,45.52,46.84,45.29,46.58,3781442
2017-01-10 00:00:00-05:00,46.51,48.0,46.48,47.96,6265277
2017-01-11 00:00:00-05:00,48.78,49.38,47.68,48.12,5592696
2017-01-12 00:00:00-05:00,48.15,48.48,46.34,47.59,4714693
2017-01-13 00:00:00-05:00,47.64,47.9,47.02,47.14,2923195
2017-01-17 00:00:00-05:00,47.05,47.24,46.17,46.25,4206173
2017-01-18 00:00:00-05:00,46.22,47.66,46.15,47.64,4169989
2017-01-19 00:00:00-05:00,47.64,48.09,46.69,46.76,3062780
2017-01-20 00:00:00-05:00,47.0,48.07,46.74,48.0,4943062
2017-01-23 00:00:00-05:00,47.9,48.09,46.75,46.93,3668010
2017-01-24 00:00:00-05:00,47.05,47.52,46.79,47.03,4343058
2017-01-25 00:00:00-05:00,47.4,48.04,47.11,47.9,4031304
2017-01-26 00:00:00-05:00,48.43,49.71,48.4,49.59,9269740
2017-01-27 00:00:00-05:00,50.0,50.0,46.26,46.95,17611506
