time,Open,High,Low,Close,Volume
2016-11-03 00:00:00-04:00,70.96,71.23,69.57,69.67,679155
2016-11-04 00:00:00-04:00,69.7,71.045,69.12,70.26,926377
2016-11-07 00:00:00-05:00,71.38,72.59,70.875,72.57,848962
2016-11-08 00:00:00-05:00,72.46,73.1,71.77,72.72,615039
2016-11-09 00:00:00-05:00,71.24,73.62,70.87,73.18,643656
2016-11-10 00:00:00-05:00,73.34,75.42,73.29,74.98,1147194
2016-11-11 00:00:00-05:00,74.52,75.33,74.14,75.23,544689
2016-11-14 00:00:00-05:00,75.71,78.1,75.6,77.85,959045
2016-11-15 00:00:00-05:00,79.21,80.4,77.65,78.25,992977
2016-11-16 00:00:00-05:00,78.0,78.29,77.31,77.77,653995
2016-11-17 00:00:00-05:00,77.66,78.9,77.48,78.85,477400
2016-11-18 00:00:00-05:00,78.49,82.15,77.9,79.47,776250
2016-11-21 00:00:00-05:00,79.5,79.57,78.72,78.78,621581
2016-11-22 00:00:00-05:00,79.13,81.86,79.09,81.53,1197527
2016-11-23 00:00:00-05:00,81.47,83.0,80.511,82.97,1199163
2016-11-25 00:00:00-05:00,83.0,83.38,82.46,82.71,320739
2016-11-28 00:00:00-05:00,82.34,83.2,81.81,82.44,689587
2016-11-29 00:00:00-05:00,82.47,83.47,82.1,82.8,479813
2016-11-30 00:00:00-05:00,81.42,83.26,80.001,82.27,1410440
2016-12-01 00:00:00-05:00,81.9,83.67,80.72,82.88,1037884
2016-12-02 00:00:00-05:00,83.0,84.93,82.59,84.83,1472920
2016-12-05 00:00:00-05:00,84.98,85.08,82.13,83.12,1575989
2016-12-06 00:00:00-05:00,83.21,84.88,82.7501,84.8,1218211
2016-12-07 00:00:00-05:00,84.71,88.12,84.52,87.67,1297591
2016-12-08 00:00:00-05:00,87.56,89.46,86.5,88.57,1276003
2016-12-09 00:00:00-05:00,88.89,90.27,88.89,89.82,1018286
2016-12-12 00:00:00-05:00,89.05,89.23,86.27,86.72,970497
2016-12-13 00:00:00-05:00,87.01,88.82,86.56,86.87,922844
2016-12-14 00:00:00-05:00,86.67,87.8899,86.21,86.38,710921
2016-12-15 00:00:00-05:00,87.26,91.62,87.096,90.12,1355807
2016-12-16 00:00:00-05:00,90.79,91.53,88.72,88.73,1296273
2016-12-19 00:00:00-05:00,88.92,90.68,88.92,90.35,895646
2016-12-20 00:00:00-05:00,90.63,91.89,90.26,91.57,672701
2016-12-21 00:00:00-05:00,91.26,91.59,90.05,91.13,716113
2016-12-22 00:00:00-05:00,91.12,91.335,88.75,89.09,846433
2016-12-23 00:00:00-05:00,89.38,90.47,89.36,90.43,553224
2016-12-27 00:00:00-05:00,90.87,91.365,90.13,90.55,516847
2016-12-28 00:00:00-05:00,90.44,91.02,88.64,88.69,530886
2016-12-29 00:00:00-05:00,88.71,89.36,87.84,88.54,618368
2016-12-30 00:00:00-05:00,88.66,89.1404,88.02,88.73,492261
2017-01-03 00:00:00-05:00,88.92,91.0,87.91,88.0,1060604
2017-01-04 00:00:00-05:00,87.49,89.43,86.64,89.17,1084471
2017-01-05 00:00:00-05:00,89.16,89.73,87.5,87.77,1061414
