time,Open,High,Low,Close,Volume
2016-11-08 00:00:00-05:00,784.97,791.7399,779.1,787.76,2455575
2016-11-09 00:00:00-05:00,764.01,777.5,760.09,771.88,6009836
2016-11-10 00:00:00-05:00,778.81,778.83,717.7,742.36,9767306
2016-11-11 00:00:00-05:00,735.73,743.26,728.9,739.01,5128319
2016-11-14 00:00:00-05:00,746.2,746.2,710.1,719.07,5526704
2016-11-15 00:00:00-05:00,730,746.78,725.99,743.32,4972583
2016-11-16 00:00:00-05:00,739.37,749.87,735.61,746.44,2642614
2016-11-17 00:00:00-05:00,749.32,757.5,748,756.4,2675442
2016-11-18 00:00:00-05:00,761,767.74,757.6435,760.17,3132596
2016-11-21 00:00:00-05:00,766,780.35,765.11,780,3273532
2016-11-22 00:00:00-05:00,788.07,792.4,781,785.34,3849178
2016-11-23 00:00:00-05:00,781.74,781.75,773.12,780.12,2503759
2016-11-25 00:00:00-05:00,786.5,786.75,777.9,780.5,1310495
2016-11-28 00:00:00-05:00,776.99,777,764.24,766.84,3077607
2016-11-29 00:00:00-05:00,768,769.89,761.32,762.48,2271947
2016-11-30 00:00:00-05:00,762.34,768.09,750.25,750.59,3133120
2016-12-01 00:00:00-05:00,752.41,753.37,738.03,743.66,3449187
2016-12-02 00:00:00-05:00,743.4,748.4903,736.7,740.34,2597481
2016-12-05 00:00:00-05:00,745,761.49,742,759.36,3124663
2016-12-06 00:00:00-05:00,763.96,768.24,757.25,764.68,2775075
2016-12-07 00:00:00-05:00,764.54,770.42,755.82,770.42,2557823
2016-12-08 00:00:00-05:00,771.87,773.79,765.19,767.28,2323711
2016-12-09 00:00:00-05:00,770,770.25,765.34,768.65,1657222
2016-12-12 00:00:00-05:00,766.4,766.89,757.2,759.8275,2045147
2016-12-13 00:00:00-05:00,764.82,782.46,762,774.33,3928994
2016-12-14 00:00:00-05:00,778.25,780.86,762.81,768.81,3983496
2016-12-15 00:00:00-05:00,766.28,769.1,760.31,760.66,2748417
2016-12-16 00:00:00-05:00,764.09,765.13,754,757.77,3190406
2016-12-19 00:00:00-05:00,758.89,770.5,756.16,766.08,2292405
2016-12-20 00:00:00-05:00,768.65,774.39,767.71,771.21,1894521
2016-12-21 00:00:00-05:00,770,771.22,765.7,770.61,1483756
2016-12-22 00:00:00-05:00,768.13,771.21,763.02,766.26,1722212
2016-12-23 00:00:00-05:00,764.55,766.5,757.99,760.58,1440168
2016-12-27 00:00:00-05:00,763.4,774.65,761.2,771.4,1975531
2016-12-28 00:00:00-05:00,776.25,780,770.5,772.14,2449867
2016-12-29 00:00:00-05:00,772.4,773.4,760.85,765.15,2379201
2016-12-30 00:00:00-05:00,766.47,767.3999,748.28,750.03,2786459
2017-01-03 00:00:00-05:00,757.92,758.7595,747.7,753.66,2511913
2017-01-04 00:00:00-05:00,758.24,759.68,754.2,757.18,1671835
2017-01-05 00:00:00-05:00,761.55,782.3999,760.2557,780.45,4401014
2017-01-06 00:00:00-05:00,782.28,799.44,778.48,795.99,4559445
2017-01-09 00:00:00-05:00,798,801.7742,791.77,796.92,2551340
2017-01-10 00:00:00-05:00,796.6,798,789.5434,795.9,1759185
2017-01-11 00:00:00-05:00,793.66,799.5,789.51,799.01,2103978
2017-01-12 00:00:00-05:00,800.31,814.13,799.5,813.51,3610360
2017-01-13 00:00:00-05:00,814.32,821.65,811.4,817.24,2762463
2017-01-17 00:00:00-05:00,815.7,816,803.44,809.54,2508458
2017-01-18 00:00:00-05:00,809.5,811.73,804.27,807.48,1616748
2017-01-19 00:00:00-05:00,810,813.51,807.32,808.92,1721690
2017-01-20 00:00:00-05:00,815.24,816.02,806.26,808.27,2307710
2017-01-23 00:00:00-05:00,806.8,818.5,805.08,817.9,1836163
2017-01-24 00:00:00-05:00,822,823.99,814.5,822.44,2115119
2017-01-25 00:00:00-05:00,825.79,837.4183,825.288,836.66,2799331
2017-01-26 00:00:00-05:00,835.53,843.84,833,839.13,2564238
2017-01-27 00:00:00-05:00,839,839.7,829.44,835.76,2067364
2017-01-30 00:00:00-05:00,833,833.5,816.38,830.37,2672284
2017-01-31 00:00:00-05:00,823.84,826.99,819.56,823.28,2153806
2017-02-01 00:00:00-05:00,829.21,833.78,824.94,832.27,2720244
2017-02-02 00:00:00-05:00,836.59,842.49,828.26,839.95,4054940
2017-02-03 00:00:00-05:00,806.77,818.3,804,810.08,7601170
2017-02-06 00:00:00-05:00,809.8,810.72,803,807.61,2632498
2017-02-07 00:00:00-05:00,809.31,816.16,807.5,812.45,2563108
2017-02-08 00:00:00-05:00,812.69,821.479,812.5,819.7,1966070
2017-02-09 00:00:00-05:00,821.6,825,819.71,821.27,1648568
2017-02-10 00:00:00-05:00,823.82,828,822.85,827.47,1593192
