fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-09-30,USD,79076000000,6014000000,None,189000000,75719000000,3357000000,None,6969000000,None,327000000,20313000000,9753000000,4234000000,16477000000,19725000000,None,None,-7939000000,32483000000,25030000000,None,-12410000000,None,1503000000,29825000000,746000000,2403000000,None,None,None,None,None,-272000000,None,None,None,None,None,29825000000,None,None,None,None,None,11241000000,None,21525000000,None,None
2020-06-30,USD,72261000000,6017000000,None,128000000,63571000000,8690000000,447000000,11843000000,None,5706000000,15838000000,9753000000,1820000000,11366000000,20150000000,839000000,5230000000,-7937000000,34123000000,18915000000,1633000000,-7080000000,4302000000,1375000000,19412000000,847000000,7468000000,None,None,None,None,5706000000,-271000000,None,37576000000,None,53346000000,6103000000,19412000000,23562000000,43421000000,None,None,None,11192000000,72261000000,15668000000,None,None
2020-03-31,USD,68738000000,6019000000,None,151000000,54429000000,14309000000,1502000000,11802000000,None,11423000000,17171000000,9753000000,1875000000,5967000000,19392000000,1100000000,4337000000,-7898000000,37132000000,10275000000,3684000000,-1463000000,None,2280000000,12662000000,974000000,6490000000,None,None,None,None,11423000000,-270000000,None,42691000000,None,58463000000,5972000000,12662000000,20873000000,35037000000,None,None,None,11054000000,68738000000,5967000000,None,637000000
2019-12-31,USD,64532000000,5163000000,None,250000000,49174000000,15358000000,1456000000,9136000000,15440000000,12454000000,14803000000,9781000000,4402000000,2882000000,20204000000,3023000000,2287000000,-7989000000,36937000000,8249000000,1152000000,414000000,None,2854000000,8873000000,1251000000,8045000000,None,None,None,None,12454000000,-236000000,None,41339000000,None,56283000000,6095000000,8873000000,18641000000,28970000000,None,None,None,11129000000,64532000000,2882000000,None,653000000
2019-09-30,USD,63219000000,4821000000,None,109000000,48151000000,15068000000,1245000000,9806000000,15068000000,11772000000,14576000000,9781000000,5062000000,1899000000,20211000000,2635000000,2196000000,-7645000000,36611000000,6944000000,1289000000,466000000,None,2836000000,7923000000,1072000000,7770000000,None,None,None,None,11772000000,-236000000,None,10877000000,None,56275000000,6285000000,7923000000,18772000000,27940000000,None,None,None,11177000000,63219000000,1899000000,None,648000000
2019-06-30,USD,62518000000,4824000000,None,1198000000,48560000000,13958000000,None,10505000000,13958000000,10686000000,14147000000,9781000000,4708000000,2009000000,21164000000,3348000000,2281000000,-7694000000,30165000000,7134000000,1244000000,-647000000,None,2844000000,7710000000,1083000000,7311000000,None,None,None,None,10686000000,-235000000,None,10614000000,None,55384000000,6380000000,7710000000,19686000000,27396000000,None,None,None,11201000000,62518000000,2009000000,None,652000000
2019-03-31,USD,61841000000,4827000000,None,1061000000,48930000000,12911000000,None,10554000000,12911000000,9656000000,14089000000,9781000000,3660000000,1910000000,21323000000,4121000000,3055000000,-7766000000,29139000000,7196000000,1202000000,-1697000000,None,3154000000,7710000000,1071000000,6648000000,None,None,None,None,9656000000,-233000000,None,10898000000,None,54645000000,6746000000,7710000000,14092000000,27607000000,None,None,None,11254000000,61841000000,1910000000,None,667000000
2018-12-31,USD,60266000000,4830000000,None,1203000000,46579000000,13687000000,None,8605000000,13677000000,10039000000,13947000000,9781000000,5071000000,1565000000,18578000000,2593000000,1416000000,-7825000000,28335000000,6340000000,1092000000,-924000000,203000000,2314000000,7959000000,1055000000,7380000000,None,None,None,None,10039000000,-198000000,None,10980000000,None,53926000000,None,8253000000,19748000000,28001000000,None,None,None,11671000000,60266000000,1768000000,None,694000000
2018-09-30,USD,55003000000,4835000000,None,1181000000,41299000000,13704000000,None,8470000000,13704000000,9696000000,14990000000,9794000000,4274000000,1380000000,18158000000,2242000000,1083000000,-7535000000,28565000000,6726000000,809000000,13704000000,478000000,22229000000,7837000000,1170000000,7446000000,None,None,None,None,9696000000,-197000000,None,None,None,28565000000,None,8115000000,15026000000,23141000000,None,None,None,11740000000,55003000000,1858000000,None,688000000
2018-06-30,USD,55796000000,4839000000,None,1219000000,42940000000,12856000000,None,9159000000,None,8851000000,15088000000,9794000000,4659000000,1886000000,19269000000,2404000000,1263000000,-7606000000,28124000000,7641000000,739000000,12856000000,520000000,22458000000,8279000000,1589000000,7706000000,None,None,None,None,8851000000,-196000000,None,None,None,28124000000,None,8562000000,15109000000,23671000000,None,None,None,11807000000,55796000000,2406000000,None,697000000
2018-03-31,USD,54078000000,14637000000,None,2040000000,41521000000,12557000000,3636000000,8991000000,None,8465000000,15149000000,9794000000,19258000000,1447000000,20012000000,3351000000,2289000000,-7681000000,27096000000,7724000000,1001000000,12557000000,523000000,21826000000,6360000000,1146000000,7670000000,None,None,None,None,8465000000,-194000000,None,None,None,27096000000,None,6360000000,11513000000,21509000000,None,None,None,11967000000,54078000000,1970000000,None,706000000
2017-12-31,USD,53292000000,14641000000,None,1499000000,39382000000,13910000000,2296000000,6710000000,None,9636000000,14217000000,9794000000,18885000000,1814000000,18573000000,3309000000,2839000000,-7621000000,26563000000,7844000000,513000000,13910000000,825000000,2377000000,6592000000,1329000000,8554000000,None,None,None,None,9636000000,-158000000,None,18885000000,None,45448000000,None,6592000000,11921000000,20809000000,None,None,None,12053000000,53292000000,2639000000,None,723000000
2017-09-30,USD,51928000000,14645000000,None,1110000000,37927000000,14001000000,2281000000,7287000000,None,9502000000,13847000000,9794000000,18945000000,1478000000,16496000000,1224000000,8812000000,-7476000000,25900000000,7083000000,399000000,14001000000,960000000,21344000000,7584000000,1136000000,7985000000,None,None,None,None,9502000000,-158000000,None,None,None,25900000000,None,7584000000,11566000000,21431000000,None,None,None,12133000000,51928000000,2438000000,None,719000000
2017-06-30,USD,51815000000,14649000000,None,1087000000,38336000000,13479000000,2281000000,8091000000,None,8905000000,13789000000,9794000000,19271000000,2241000000,16631000000,1098000000,9019000000,-7549000000,25367000000,7177000000,134000000,13479000000,747000000,21435000000,7916000000,938000000,7442000000,None,None,None,None,8905000000,-156000000,None,None,None,25367000000,None,7916000000,11508000000,21705000000,None,None,None,12279000000,51815000000,2988000000,None,731000000
2017-03-31,USD,51459000000,14649000000,None,1068000000,38514000000,12945000000,2261000000,8106000000,None,8226000000,14374000000,9794000000,19762000000,1907000000,15953000000,1040000000,1040000000,-7571000000,24817000000,6880000000,None,12945000000,743000000,22069000000,8187000000,855000000,6807000000,None,None,None,None,8226000000,-153000000,None,None,None,24817000000,None,8187000000,12113000000,22561000000,None,None,None,12443000000,51459000000,2650000000,None,731000000
2016-12-31,USD,51261000000,14638000000,None,1247000000,38974000000,12287000000,2278000000,6274000000,None,7903000000,17534000000,9794000000,19435000000,2762000000,15239000000,1819000000,1009000000,-7636000000,24375000000,7451000000,139000000,12287000000,487000000,2064000000,6201000000,891000000,7146000000,None,None,None,None,7903000000,-274000000,None,19435000000,None,43810000000,None,6201000000,15256000000,23735000000,None,None,None,12294000000,51261000000,3249000000,None,755000000
2016-09-30,USD,50948000000,14642000000,None,1386000000,38438000000,12510000000,2275000000,6770000000,None,11109000000,16818000000,9794000000,19514000000,1638000000,15147000000,1816000000,1816000000,-7212000000,24105000000,7329000000,None,12510000000,1514000000,21510000000,6473000000,775000000,6561000000,None,None,None,None,11109000000,-274000000,None,None,None,24105000000,None,6473000000,14543000000,23291000000,None,None,None,8887000000,50948000000,3152000000,None,744000000
2016-06-30,USD,51634000000,14646000000,None,1790000000,39824000000,11810000000,2294000000,7544000000,0,10000000000,16885000000,9794000000,20021000000,1662000000,16250000000,2010000000,2010000000,-7279000000,23975000000,7638000000,None,11810000000,1289000000,22123000000,6689000000,795000000,6696000000,0,0,0,0,10000000000,-272000000,None,None,None,23975000000,None,6689000000,14591000000,23574000000,None,None,None,9361000000,51634000000,2951000000,None,763000000
2016-03-31,USD,53342000000,14650000000,None,3520000000,42090000000,11252000000,2276000000,7593000000,0,8462000000,17062000000,9794000000,20614000000,1708000000,18108000000,4161000000,None,-7279000000,23422000000,9306000000,None,11252000000,1206000000,22793000000,6920000000,693000000,6354000000,0,0,0,0,8462000000,-270000000,None,None,None,23422000000,None,6920000000,14786000000,23982000000,None,None,None,10339000000,53342000000,2914000000,None,780000000
2015-12-31,USD,53134000000,14655000000,None,2902000000,42284000000,10850000000,2246000000,6138000000,0,7623000000,17992000000,9794000000,21039000000,1972000000,17526000000,4144000000,1415000000,-7275000000,23039000000,9056000000,155000000,10850000000,1465000000,2020000000,6766000000,697000000,7244000000,0,0,0,0,7623000000,-373000000,None,21039000000,None,44078000000,None,6766000000,15746000000,24758000000,None,None,None,10875000000,53134000000,3437000000,None,804000000
2015-09-30,USD,53646000000,14383000000,None,2783000000,43301000000,10345000000,2265000000,6852000000,0,6748000000,18597000000,9794000000,19065000000,2369000000,17608000000,3899000000,None,-7316000000,22608000000,11973000000,None,10345000000,1442000000,23749000000,7096000000,695000000,6857000000,0,0,0,0,6748000000,-372000000,None,None,None,22608000000,None,7096000000,16332000000,25693000000,None,None,None,11285000000,53646000000,3811000000,None,795000000
