fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-09-30,USD,35605000000,295000000,None,478000000,25836000000,9769000000,None,3952000000,888000000,15685000000,6462000000,970000000,307000000,12109000000,7804000000,None,None,-102000000,17823000000,16133000000,None,8504000000,None,48000000,10135000000,426000000,980000000,None,None,None,None,None,-10877000000,None,None,None,None,None,10135000000,None,None,None,None,None,4175000000,None,14562000000,None,None
2020-06-30,USD,35596000000,295000000,None,455000000,24718000000,10878000000,2114000000,5324000000,888000000,16842000000,4952000000,970000000,299000000,12351000000,9361000000,695000000,695000000,-130000000,18092000000,15872000000,None,13285000000,2106000000,46000000,8905000000,422000000,3342000000,None,None,888000000,None,16842000000,-10881000000,None,2507000000,None,19724000000,1822000000,8905000000,961000000,11980000000,None,None,None,4159000000,35596000000,14457000000,-11164000000,None
2020-03-31,USD,26885000000,296000000,None,582000000,17810000000,9075000000,2278000000,5366000000,808000000,17757000000,4329000000,970000000,264000000,3940000000,10241000000,2795000000,2795000000,-186000000,18267000000,7028000000,None,10216000000,1605000000,44000000,2288000000,518000000,2080000000,None,None,808000000,None,17757000000,-10886000000,None,1898000000,None,19857000000,1266000000,2288000000,892000000,5458000000,None,None,None,1582000000,26885000000,5545000000,-10912000000,515000000
2019-12-31,USD,25895000000,296000000,None,48000000,16063000000,9832000000,3417000000,4810000000,808000000,17945000000,4286000000,970000000,219000000,2548000000,8952000000,819000000,819000000,-61000000,18374000000,5974000000,None,9840000000,1524000000,1086000000,868000000,529000000,3323000000,None,None,808000000,None,17945000000,-10441000000,None,1926000000,None,19921000000,1331000000,1846000000,870000000,6133000000,None,None,None,1581000000,25895000000,4072000000,-10688000000,539000000
2019-09-30,USD,26467000000,311000000,None,35000000,16536000000,9931000000,3679000000,5262000000,808000000,17525000000,4491000000,970000000,212000000,2488000000,8629000000,637000000,637000000,-63000000,19194000000,5650000000,1000000,9975000000,1528000000,867000000,1812000000,528000000,2730000000,None,None,808000000,None,17525000000,-9893000000,None,2005000000,None,20817000000,1346000000,2398000000,816000000,6893000000,None,None,None,1554000000,26467000000,4016000000,-10445000000,534000000
2019-06-30,USD,26374000000,312000000,None,281000000,15362000000,9940000000,3519000000,5312000000,808000000,16962000000,4302000000,970000000,207000000,2446000000,8611000000,654000000,654000000,30000000,17733000000,5554000000,None,10042000000,1540000000,777000000,2449000000,510000000,2645000000,None,None,808000000,None,16962000000,-9394000000,None,2117000000,None,20820000000,1422000000,2449000000,783000000,6751000000,None,None,None,1534000000,26374000000,3986000000,-10164000000,542000000
2019-03-31,USD,26459000000,313000000,None,354000000,15518000000,9791000000,3465000000,5390000000,808000000,16320000000,4185000000,970000000,1192000000,2344000000,8723000000,571000000,571000000,96000000,17773000000,5483000000,None,9971000000,1517000000,784000000,2602000000,484000000,2762000000,None,None,808000000,None,16320000000,-8946000000,None,2233000000,None,20976000000,1511000000,2602000000,728000000,6795000000,None,None,None,1513000000,26459000000,3861000000,-9875000000,552000000
2018-12-31,USD,26243000000,400000000,None,310000000,16390000000,9853000000,3363000000,4134000000,808000000,15967000000,5702000000,970000000,1095000000,1854000000,7905000000,606000000,523000000,20000000,19525000000,5028000000,None,8883000000,1835000000,568000000,2137000000,461000000,3165000000,None,None,808000000,None,15967000000,-8452000000,None,720000000,None,21215000000,None,2771000000,2351000000,8485000000,None,None,None,1510000000,26243000000,3689000000,-9731000000,574000000
2018-09-30,USD,26882000000,403000000,None,514000000,16729000000,10153000000,3380000000,4756000000,808000000,15402000000,5764000000,970000000,1449000000,2104000000,7843000000,346000000,346000000,412000000,19279000000,5601000000,None,9183000000,1716000000,784000000,3122000000,483000000,2741000000,0,0,808000000,0,15402000000,-7954000000,None,1032000000,None,21281000000,None,3100000000,2406000000,8886000000,None,None,None,1485000000,26882000000,3820000000,-9437000000,569000000
2018-06-30,USD,26465000000,406000000,None,498000000,16468000000,9997000000,3292000000,4652000000,808000000,14878000000,5574000000,970000000,1473000000,2114000000,7716000000,365000000,365000000,298000000,19066000000,5408000000,None,9027000000,1572000000,765000000,3178000000,459000000,2699000000,0,0,808000000,0,14878000000,-7456000000,None,1021000000,None,21057000000,None,3155000000,2305000000,8752000000,None,None,None,1469000000,26465000000,3686000000,-9166000000,579000000
