 Alpa
fiscalDateEnding,accountsPayable,accumulatedAmortization,accumulatedDepreciation,additionalPaidInCapital,capitalLeaseObligations,capitalSurplus,cash,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,commonStockTotalEquity,currentLongTermDebt,deferredLongTermAssetCharges,deferredLongTermLiabilities,earningAssets,goodwill,intangibleAssets,inventory,liabilitiesAndShareholderEquity,longTermDebt,longTermInvestments,negativeGoodwill,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,otherNonCurrentLiabilities,otherNonCurrrentAssets,otherShareholderEquity,preferredStockRedeemable,preferredStockTotalEquity,propertyPlantEquipment,reportedCurrency,retainedEarnings,retainedEarningsTotalEquity,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalLongTermDebt,totalNonCurrentAssets,totalNonCurrentLiabilities,totalPermanentEquity,totalShareholderEquity,treasuryStock,warrants
2020-06-30,3394000000,None,None,None,6120000000,7307000000,6505000000,7463000000,3000000,290982216,3000000,4454000000,None,804000000,None,4523000000,2852000000,955000000,54901000000,14318000000,798000000,None,857000000,18776000000,1838000000,5504000000,8547000000,10242000000,4608000000,-7191000000,-1259000000,None,None,47313000000,USD,6365000000,6365000000,4454000000,958000000,54901000000,10041000000,16395000000,36125000000,14318000000,40122000000,19730000000,None,8517000000,-3899000000,None
2020-03-31,4083000000,None,None,None,6176000000,6096000000,3442000000,5221000000,3000000,247256855,3000000,4055000000,None,1322000000,None,4523000000,2945000000,1070000000,53055000000,13198000000,763000000,None,792000000,18980000000,2114000000,5675000000,7949000000,8923000000,3468000000,-6525000000,-771000000,None,None,46822000000,USD,7991000000,7991000000,4055000000,1779000000,53055000000,7905000000,16087000000,34075000000,13198000000,40297000000,17988000000,None,9418000000,-3901000000,None
2019-12-31,4974000000,None,-14537000000,None,5898000000,6129000000,2762000000,4944000000,3000000,251216381,3000000,1407000000,None,1736000000,None,5069000000,2463000000,1072000000,52611000000,13145000000,1180000000,None,1364000000,19533000000,2161000000,814000000,8557000000,7831000000,3259000000,14247000000,-718000000,None,None,30170000000,USD,9716000000,9716000000,1407000000,2182000000,52611000000,8194000000,14938000000,33078000000,13145000000,44417000000,18140000000,None,11531000000,-3599000000,None
2019-09-30,2848000000,None,None,None,5997000000,6111000000,2959000000,5126000000,3000000,253624406,3000000,1243000000,None,1594000000,None,4523000000,3114000000,1065000000,52199000000,12900000000,1131000000,None,1617000000,3664000000,2081000000,5662000000,574000000,7180000000,981000000,100000000,-504000000,None,None,32823000000,USD,9075000000,9075000000,1243000000,2167000000,52199000000,8533000000,15691000000,40898000000,12900000000,43666000000,25207000000,None,11301000000,-3384000000,None
2019-06-30,3033000000,None,None,None,5990000000,6096000000,3221000000,5444000000,3000000,257729166,3000000,1255000000,None,1192000000,None,4523000000,3129000000,996000000,52150000000,12938000000,1139000000,None,1762000000,18319000000,1984000000,5616000000,604000000,7578000000,980000000,105000000,-807000000,None,None,28918000000,USD,8050000000,8050000000,1255000000,2223000000,52150000000,8910000000,16078000000,41830000000,12938000000,43240000000,25752000000,None,10320000000,-3022000000,None
2019-03-31,4968000000,None,None,None,6153000000,6080000000,1848000000,4067000000,3000000,264271125,3000000,1201000000,None,None,None,4523000000,3144000000,972000000,50639000000,12734000000,1098000000,None,1789000000,15183000000,2070000000,5845000000,9166000000,7387000000,7387000000,9380000000,-793000000,None,None,28586000000,USD,6999000000,6999000000,1201000000,2219000000,50639000000,7608000000,15335000000,35456000000,12734000000,37966000000,20121000000,None,9802000000,-2487000000,None
2018-12-31,5166000000,None,None,None,1134000000,6120000000,1694000000,3950000000,3000000,269914769,3000000,1230000000,None,None,None,4523000000,3159000000,985000000,44792000000,12215000000,966000000,None,1346000000,9995000000,1798000000,913000000,6667000000,8236000000,8236000000,9269000000,-803000000,None,None,28329000000,USD,6668000000,6668000000,1379000000,2256000000,44792000000,7194000000,13212000000,34797000000,13349000000,37598000000,21585000000,None,9995000000,-1993000000,None
2018-09-30,5170000000,None,None,0,1116000000,6105000000,2621000000,4935000000,3000000,272464412,3000000,910000000,None,0,None,4523000000,3382000000,1011000000,44837000000,12218000000,848000000,None,1752000000,9469000000,1206000000,973000000,7468000000,8350000000,8350000000,8858000000,-1089000000,None,0,27308000000,USD,6203000000,6203000000,1046000000,2314000000,44837000000,8671000000,13684000000,35368000000,13334000000,36166000000,21684000000,0,9469000000,-1753000000,None
2018-06-30,5056000000,None,None,0,1039000000,6091000000,2884000000,5071000000,3000000,273017840,3000000,887000000,None,0,None,4523000000,3399000000,942000000,44691000000,12460000000,848000000,None,1840000000,8639000000,988000000,1028000000,8032000000,8461000000,8461000000,8864000000,-1102000000,None,0,26946000000,USD,5367000000,5367000000,1004000000,2187000000,44691000000,8881000000,14092000000,36052000000,13499000000,35810000000,21960000000,0,8639000000,-1720000000,None
2018-03-31,4682000000,None,None,0,1019000000,6077000000,2404000000,4475000000,3000000,279410451,3000000,1655000000,None,0,None,4523000000,8044000000,924000000,44018000000,12166000000,853000000,None,1760000000,8336000000,8992000000,1128000000,7722000000,8064000000,8314000000,8992000000,-1114000000,None,0,26739000000,USD,4684000000,4684000000,1779000000,2071000000,44018000000,8287000000,14183000000,35682000000,13185000000,35731000000,21499000000,0,8336000000,-1314000000,None
