time,Open,High,Low,Close,Volume
2016-11-08 00:00:00-05:00,43.63,44.635,43.13,44.53,8326046
2016-11-09 00:00:00-05:00,43.7,45.49,43.57,45.25,11210788
2016-11-10 00:00:00-05:00,45.39,46.13,43.54,44.49,17393355
2016-11-11 00:00:00-05:00,44.29,46.38,43.82,46.38,8888314
2016-11-14 00:00:00-05:00,46.62,47.48,45.36,47.46,10690948
2016-11-15 00:00:00-05:00,49.02,49.24,47.0,47.65,13047953
2016-11-16 00:00:00-05:00,47.59,47.74,47.16,47.38,5915879
2016-11-17 00:00:00-05:00,47.41,48.37,46.73,46.96,7699770
2016-11-18 00:00:00-05:00,47.23,48.96,46.72,48.91,6486039
2016-11-21 00:00:00-05:00,48.98,49.17,46.97,48.605,8008989
2016-11-22 00:00:00-05:00,48.84,49.3,48.75,48.89,8049293
2016-11-23 00:00:00-05:00,48.785,49.285,47.32,49.2,4242668
2016-11-25 00:00:00-05:00,49.17,49.41,48.89,49.22,1920740
2016-11-28 00:00:00-05:00,49.08,49.35,48.48,48.5,7936335
2016-11-29 00:00:00-05:00,48.53,49.05,48.23,48.6,5836844
2016-11-30 00:00:00-05:00,47.55,48.75,46.85,48.21,7738908
2016-12-01 00:00:00-05:00,47.96,48.94,47.6,47.765,8667652
2016-12-02 00:00:00-05:00,48.33,48.94,46.66,46.77,8039484
2016-12-05 00:00:00-05:00,46.96,47.25,46.07,46.3,8578488
2016-12-06 00:00:00-05:00,46.66,49.49,46.57,49.44,8169362
2016-12-07 00:00:00-05:00,49.44,49.86,48.1,49.47,9425063
2016-12-08 00:00:00-05:00,49.46,51.92,48.92,51.36,8564356
2016-12-09 00:00:00-05:00,52.0,52.76,51.26,51.79,7677658
2016-12-12 00:00:00-05:00,51.03,51.34,49.925,49.98,7398750
2016-12-13 00:00:00-05:00,50.02,50.7,49.62,49.665,7391322
2016-12-14 00:00:00-05:00,49.86,50.3,48.01,48.23,8826506
2016-12-15 00:00:00-05:00,48.86,50.08,48.81,48.89,9468772
2016-12-16 00:00:00-05:00,51.02,51.5,48.47,48.56,7662934
2016-12-19 00:00:00-05:00,48.63,50.42,48.6,50.41,4297213
2016-12-20 00:00:00-05:00,50.43,51.15,50.42,50.76,4659487
2016-12-21 00:00:00-05:00,50.68,50.98,48.97,49.3,3581370
2016-12-22 00:00:00-05:00,49.15,49.23,48.08,48.21,4591449
2016-12-23 00:00:00-05:00,48.35,50.01,48.26,49.89,3655781
2016-12-27 00:00:00-05:00,49.95,50.61,48.74,48.75,2906285
2016-12-28 00:00:00-05:00,48.74,49.62,47.87,47.93,3888246
2016-12-29 00:00:00-05:00,47.95,49.77,47.69,49.32,2983581
2016-12-30 00:00:00-05:00,49.34,49.56,48.87,49.2,3469207
2017-01-03 00:00:00-05:00,49.37,50.14,49.17,49.48,4779617
2017-01-04 00:00:00-05:00,50.09,50.87,48.66,50.695,6373572
2017-01-05 00:00:00-05:00,50.38,50.685,47.97,48.14,5112660
2017-01-06 00:00:00-05:00,48.19,50.3,47.77,49.69,5820870
2017-01-09 00:00:00-05:00,49.46,50.17,48.09,48.11,4349499
2017-01-10 00:00:00-05:00,48.33,51.26,48.26,50.94,7302681
2017-01-11 00:00:00-05:00,51.46,51.7399,49.5,49.8,8906871
2017-01-12 00:00:00-05:00,49.64,51.64,49.52,50.91,13126681
2017-01-13 00:00:00-05:00,50.79,51.64,50.78,51.23,6259201
2017-01-17 00:00:00-05:00,50.99,51.22,48.58,48.73,6586063
2017-01-18 00:00:00-05:00,48.54,50.42,48.43,50.3,6138725
2017-01-19 00:00:00-05:00,50.28,50.5,48.04,48.12,6212196
2017-01-20 00:00:00-05:00,48.19,50.54,48.13,50.49,6590892
2017-01-23 00:00:00-05:00,50.27,50.43,48.77,48.78,7364960
2017-01-24 00:00:00-05:00,48.91,49.53,47.75,47.86,5912507
2017-01-25 00:00:00-05:00,48.38,50.429,48.2,50.21,6819657
2017-01-26 00:00:00-05:00,50.69,51.54,48.95,50.9,7636143
2017-01-27 00:00:00-05:00,50.99,51.12,47.98,48.12,6221787
2017-01-30 00:00:00-05:00,47.4,47.4,46.03,46.15,11695600
