time,Open,High,Low,Close,Volume
2016-11-08 00:00:00-05:00,41.57,42,41.22,41.93,7527904
2016-11-09 00:00:00-05:00,40.8,42.456,40.751,42.35,7367036
2016-11-10 00:00:00-05:00,42.64,43.85,42.58,43.64,8821801
2016-11-11 00:00:00-05:00,43.5,43.85,42.99,43.83,6759314
2016-11-14 00:00:00-05:00,43.9,45.45,43.88,45.34,9353649
2016-11-15 00:00:00-05:00,46.55,47.3,45.68,46.27,8716316
2016-11-16 00:00:00-05:00,46.04,46.34,45.45,45.85,5349027
2016-11-17 00:00:00-05:00,45.69,46.7399,45.35,46.7,5048895
2016-11-18 00:00:00-05:00,46.91,47.25,46.68,47.06,5370337
2016-11-21 00:00:00-05:00,47.08,47.68,46.98,47.36,5774271
2016-11-22 00:00:00-05:00,47.69,47.99,46.75,47.09,6515034
2016-11-23 00:00:00-05:00,46.99,47.46,46.13,47.36,4558557
2016-11-25 00:00:00-05:00,47.31,47.91,47.23,47.43,2210166
2016-11-28 00:00:00-05:00,47.41,47.77,47.15,47.53,3607631
2016-11-29 00:00:00-05:00,47.56,47.83,47.21,47.245,3193270
2016-11-30 00:00:00-05:00,46.07,47.3311,44.7,46.635,5471036
2016-12-01 00:00:00-05:00,46.36,47.44,46.185,47.08,4835607
2016-12-02 00:00:00-05:00,47.37,48.24,47.3,47.92,4149661
2016-12-05 00:00:00-05:00,48.08,48.46,47.0444,47.07,4045889
2016-12-06 00:00:00-05:00,47.39,47.9,47.16,47.68,3863295
2016-12-07 00:00:00-05:00,47.71,49.875,47.4,49.85,6495778
2016-12-08 00:00:00-05:00,49.99,49.99,49.241,49.59,5937345
2016-12-09 00:00:00-05:00,49.89,50.684,49.22,49.795,6007331
2016-12-12 00:00:00-05:00,49.36,49.69,48.92,49.37,7587259
2016-12-13 00:00:00-05:00,49.48,50.43,49.45,49.55,5859517
2016-12-14 00:00:00-05:00,49.5,50,48.9,49.27,5000919
2016-12-15 00:00:00-05:00,49.43,51.31,49.4,50.5997,8070020
