date,close
11/2/2020,11.19
11/2/2020,11.19
10/30/2020,11.28
9/30/2020,12.29
8/31/2020,13.05
7/31/2020,11.12
6/30/2020,13.07
5/29/2020,10.5
4/30/2020,12.01
3/31/2020,12.19
2/28/2020,19.05
1/31/2020,26.84
12/31/2019,28.68
11/29/2019,28.74
10/31/2019,30.06
9/30/2019,26.97
8/30/2019,26.31
7/31/2019,30.51
6/28/2019,32.61
5/31/2019,27.23
4/30/2019,34.18
3/29/2019,31.76
2/28/2019,35.63
1/31/2019,35.77
12/31/2018,32.11
11/30/2018,40.16
10/31/2018,35.08
9/28/2018,41.33
8/31/2018,40.48
7/31/2018,39.54
6/29/2018,37.96
5/31/2018,43.54
4/30/2018,42.93
3/29/2018,51.96
2/28/2018,54.25
1/31/2018,54.32
12/29/2017,52.03
11/30/2017,50.49
10/31/2017,46.82
9/29/2017,47.49
8/31/2017,44.74
7/31/2017,50.44
6/30/2017,50.32
5/31/2017,48.41
4/28/2017,42.62
3/31/2017,42.3
2/28/2017,46.36
1/31/2017,44.25
12/30/2016,46.69
11/30/2016,46.44
10/31/2016,40.6
9/30/2016,36.61
8/31/2016,36.3
7/29/2016,35.5
6/30/2016,28.31
5/31/2016,31.91
4/29/2016,34.69
3/31/2016,41.01
2/29/2016,41
1/29/2016,38.99
12/31/2015,42.35
11/30/2015,41.26
10/30/2015,46.22
9/30/2015,38.83
8/31/2015,38.98
7/31/2015,40.1
6/30/2015,39.935
5/29/2015,42.37
4/30/2015,48.285
3/31/2015,52.78
2/27/2015,47.9
1/30/2015,49.08
12/31/2014,53.63
11/28/2014,48.53
10/31/2014,41.35
9/30/2014,35.48
8/29/2014,38.881
7/31/2014,38.85
6/30/2014,42.96
5/30/2014,40.16
4/30/2014,35.07
3/31/2014,36.6
2/28/2014,36.93
1/31/2014,33.55
12/31/2013,25.25
11/29/2013,23.48
10/31/2013,21.97
9/30/2013,18.96
8/30/2013,16.16
7/31/2013,19.35
6/28/2013,16.42
5/31/2013,17.57
4/30/2013,16.9
3/28/2013,16.97
2/28/2013,13.43
1/31/2013,14.28
12/31/2012,13.5
11/30/2012,12.89
10/31/2012,12.18
9/28/2012,10.46
8/31/2012,10.66
7/31/2012,11.46
6/29/2012,13.33
5/31/2012,13.22
4/30/2012,10.26
3/30/2012,7.59
2/29/2012,7.41
1/31/2012,8.44
12/30/2011,5.07
11/30/2011,4.72
10/31/2011,5.77
9/30/2011,5.5
8/31/2011,5.59
7/29/2011,6.24
6/30/2011,8.91
5/31/2011,9.1
4/29/2011,9.09
3/31/2011,8.71
2/28/2011,8.61
1/31/2011,9.92
12/31/2010,10.01
11/30/2010,11.16
10/29/2010,11.79
9/30/2010,9.25
8/31/2010,9.04
7/30/2010,10.85
6/30/2010,8.61
5/28/2010,8.83
4/30/2010,7.07
3/31/2010,7.35
2/26/2010,7.33
1/29/2010,5.31
12/31/2009,4.84
11/30/2009,3.69
10/30/2009,3.06
9/30/2009,4.7
8/31/2009,3.4
7/31/2009,2.93
6/30/2009,2.43
5/29/2009,2.58
4/30/2009,3.79
3/31/2009,2.53
2/27/2009,2.85
1/30/2009,5.67
12/31/2008,7.73
11/28/2008,5.96
10/31/2008,10.14
9/30/2008,6.03
8/29/2008,8.49
7/31/2008,5.06
6/30/2008,2.5
5/30/2008,3.96
4/30/2008,8.59
3/31/2008,8.91
2/29/2008,12.4
1/31/2008,13.84
12/31/2007,14.71
11/30/2007,20.77
10/31/2007,27.66
9/28/2007,26.25
8/31/2007,30.95
7/31/2007,31.01
6/29/2007,30.27
5/31/2007,35.65
4/30/2007,36.94
3/30/2007,45.48
2/28/2007,52.29
1/31/2007,55.98
12/29/2006,53.85
11/30/2006,56.76
10/31/2006,49.86
9/29/2006,44.33
8/31/2006,42.25
7/31/2006,45.69
6/30/2006,50.54
5/31/2006,46.7
4/28/2006,43.26
3/31/2006,40
2/28/2006,33.09
1/31/2006,29.34
12/30/2005,37.14
11/30/2005,33.59
10/31/2005,24.68
