date,close
10/30/2020,108.86
9/30/2020,115.81
8/31/2020,129.04
7/31/2020,425.04
6/30/2020,364.8
5/29/2020,317.94
4/30/2020,293.8
3/31/2020,254.29
2/28/2020,273.36
1/31/2020,309.51
12/31/2019,293.65
11/29/2019,267.25
10/31/2019,248.76
9/30/2019,223.97
8/30/2019,208.74
7/31/2019,213.04
6/28/2019,197.92
5/31/2019,175.07
4/30/2019,200.67
3/29/2019,189.95
2/28/2019,173.15
1/31/2019,166.44
12/31/2018,157.74
11/30/2018,178.58
10/31/2018,218.86
9/28/2018,225.74
8/31/2018,227.63
7/31/2018,190.29
6/29/2018,185.11
5/31/2018,186.87
4/30/2018,165.26
3/29/2018,167.78
2/28/2018,178.12
1/31/2018,167.43
12/29/2017,169.23
11/30/2017,171.85
10/31/2017,169.04
9/29/2017,154.12
8/31/2017,164
7/31/2017,148.73
6/30/2017,144.02
5/31/2017,152.76
4/28/2017,143.65
3/31/2017,143.66
2/28/2017,136.99
1/31/2017,121.35
12/30/2016,115.82
11/30/2016,110.52
10/31/2016,113.54
9/30/2016,113.05
8/31/2016,106.1
7/29/2016,104.21
6/30/2016,95.6
5/31/2016,99.86
4/29/2016,93.74
3/31/2016,108.99
2/29/2016,96.69
1/29/2016,97.34
12/31/2015,105.26
11/30/2015,118.3
10/30/2015,119.5
9/30/2015,109.95
8/31/2015,112.76
7/31/2015,121.3
6/30/2015,125.425
5/29/2015,130.28
4/30/2015,125.15
3/31/2015,124.43
2/27/2015,128.46
1/30/2015,117.16
12/31/2014,110.38
11/28/2014,118.93
10/31/2014,108
9/30/2014,100.75
8/29/2014,102.5
7/31/2014,95.6
6/30/2014,92.93
5/30/2014,633
4/30/2014,590.09
3/31/2014,536.74
2/28/2014,526.24
1/31/2014,500.6
12/31/2013,561.02
11/29/2013,556.07
10/31/2013,522.702
9/30/2013,476.75
8/30/2013,487.216
7/31/2013,452.53
6/28/2013,396.53
5/31/2013,449.735
4/30/2013,442.78
3/28/2013,442.66
2/28/2013,441.4
1/31/2013,455.49
12/31/2012,532.1729
11/30/2012,585.28
10/31/2012,595.32
9/28/2012,667.105
8/31/2012,665.24
7/31/2012,610.76
6/29/2012,584
5/31/2012,577.73
4/30/2012,583.98
3/30/2012,599.55
2/29/2012,542.44
1/31/2012,456.48
12/30/2011,405
11/30/2011,382.2
10/31/2011,404.78
9/30/2011,381.32
8/31/2011,384.83
7/29/2011,390.48
6/30/2011,335.67
5/31/2011,347.83
4/29/2011,350.13
3/31/2011,348.5075
2/28/2011,353.21
1/31/2011,339.32
12/31/2010,322.56
11/30/2010,311.15
10/29/2010,300.98
9/30/2010,283.75
8/31/2010,243.1
7/30/2010,257.25
6/30/2010,251.53
5/28/2010,256.88
4/30/2010,261.09
3/31/2010,235
2/26/2010,204.62
1/29/2010,192.063
12/31/2009,210.732
11/30/2009,199.91
10/30/2009,188.5
9/30/2009,185.35
8/31/2009,168.21
7/31/2009,163.39
6/30/2009,142.43
5/29/2009,135.81
4/30/2009,125.83
3/31/2009,105.12
2/27/2009,89.31
1/30/2009,90.13
12/31/2008,85.35
11/28/2008,92.67
10/31/2008,107.59
9/30/2008,113.66
8/29/2008,169.53
7/31/2008,158.95
6/30/2008,167.44
5/30/2008,188.75
4/30/2008,173.95
3/31/2008,143.5
2/29/2008,125.02
1/31/2008,135.36
12/31/2007,198.08
11/30/2007,182.22
10/31/2007,189.95
9/28/2007,153.47
8/31/2007,138.48
7/31/2007,131.76
6/29/2007,122.04
5/31/2007,121.191
4/30/2007,99.8
3/30/2007,92.91
2/28/2007,84.61
1/31/2007,85.73
12/29/2006,84.84
11/30/2006,91.66
10/31/2006,81.08
9/29/2006,76.98
8/31/2006,67.85
7/31/2006,67.96
6/30/2006,57.27
5/31/2006,59.77
4/28/2006,70.39
3/31/2006,62.72
2/28/2006,68.49
1/31/2006,75.51
12/30/2005,71.89
11/30/2005,67.82
10/31/2005,57.59
9/30/2005,53.61
8/31/2005,46.89
7/29/2005,42.65
6/30/2005,36.81
5/31/2005,39.7593
4/29/2005,36.06
3/31/2005,41.67
2/28/2005,44.86
1/31/2005,76.9
12/31/2004,64.4
11/30/2004,67.05
10/29/2004,52.4
9/30/2004,38.75
8/31/2004,34.49
7/30/2004,32.34
6/30/2004,32.54
5/28/2004,28.06
4/30/2004,25.78
3/31/2004,27.04
2/27/2004,23.92
1/30/2004,22.56
12/31/2003,21.37
11/28/2003,20.91
10/31/2003,22.89
9/30/2003,20.72
8/29/2003,22.61
7/31/2003,21.08
6/30/2003,19.06
5/30/2003,17.95
4/30/2003,14.22
3/31/2003,14.14
2/28/2003,15.01
1/31/2003,14.36
12/31/2002,14.33
11/29/2002,15.5
10/31/2002,16.07
9/30/2002,14.5
8/30/2002,14.75
7/31/2002,15.26
6/28/2002,17.72
5/31/2002,23.3
4/30/2002,24.27
3/28/2002,23.67
2/28/2002,21.7
1/31/2002,24.72
12/31/2001,21.9
11/30/2001,21.3
10/31/2001,17.56
9/28/2001,15.51
8/31/2001,18.55
7/31/2001,18.79
6/29/2001,23.25
5/31/2001,19.95
4/30/2001,25.49
3/30/2001,22.07
2/28/2001,18.25
1/31/2001,21.62
12/29/2000,14.88
11/30/2000,16.5
10/31/2000,19.56
9/29/2000,25.75
8/31/2000,60.94
7/31/2000,50.81
6/30/2000,52.38
5/31/2000,84
4/28/2000,124.06
3/31/2000,135.81
2/29/2000,114.62
1/31/2000,103.75
12/31/1999,102.81
