date,close
10/30/2020,1616.11
9/30/2020,1465.6
8/31/2020,1629.53
7/31/2020,1487.95
6/30/2020,1418.05
5/29/2020,1433.52
4/30/2020,1346.7
3/31/2020,1161.95
2/28/2020,1339.25
1/31/2020,1432.78
12/31/2019,1339.39
11/29/2019,1304.09
10/31/2019,1258.8
9/30/2019,1221.14
8/30/2019,1190.53
7/31/2019,1218.2
6/28/2019,1082.8
5/31/2019,1106.5
4/30/2019,1198.96
3/29/2019,1176.89
2/28/2019,1126.55
1/31/2019,1125.89
12/31/2018,1044.96
11/30/2018,1109.65
10/31/2018,1090.58
9/28/2018,1207.08
8/31/2018,1231.8
7/31/2018,1227.22
6/29/2018,1129.19
5/31/2018,1100
4/30/2018,1018.58
3/29/2018,1037.14
2/28/2018,1103.92
1/31/2018,1182.22
12/29/2017,1053.4
11/30/2017,1036.17
10/31/2017,1033.04
9/29/2017,973.72
8/31/2017,955.24
7/31/2017,945.5
6/30/2017,929.68
5/31/2017,987.09
4/28/2017,924.52
3/31/2017,847.8
2/28/2017,844.93
1/31/2017,820.19
12/30/2016,792.45
11/30/2016,775.88
10/31/2016,809.9
9/30/2016,804.06
8/31/2016,789.85
7/29/2016,791.34
6/30/2016,703.53
5/31/2016,748.85
4/29/2016,707.88
3/31/2016,762.9
2/29/2016,717.22
1/29/2016,761.35
12/31/2015,778.01
11/30/2015,762.85
10/30/2015,737.39
9/30/2015,638.37
8/31/2015,647.82
7/31/2015,657.5
6/30/2015,540.04
5/29/2015,545.32
4/30/2015,548.77
3/31/2015,554.7
2/27/2015,562.63
1/30/2015,537.55
12/31/2014,530.66
11/28/2014,549.08
10/31/2014,567.87
9/30/2014,588.41
8/29/2014,582.36
7/31/2014,579.55
6/30/2014,584.67
5/30/2014,571.65
4/30/2014,534.88
3/31/2014,1114.51
2/28/2014,1215.65
1/31/2014,1180.97
12/31/2013,1120.71
11/29/2013,1059.59
10/31/2013,1030.58
9/30/2013,875.91
8/30/2013,846.9
7/31/2013,887.75
6/28/2013,880.37
5/31/2013,871.218
4/30/2013,824.57
3/28/2013,794.188
2/28/2013,801.2
1/31/2013,755.69
12/31/2012,707.38
11/30/2012,698.37
10/31/2012,680.2976
9/28/2012,754.5
8/31/2012,685.09
7/31/2012,632.97
6/29/2012,580.07
5/31/2012,580.86
4/30/2012,604.85
3/30/2012,641.24
2/29/2012,618.25
1/31/2012,580.11
12/30/2011,645.9
11/30/2011,599.39
10/31/2011,592.64
9/30/2011,515.04
8/31/2011,540.96
7/29/2011,603.69
6/30/2011,506.38
5/31/2011,529.02
4/29/2011,544.1
3/31/2011,586.76
2/28/2011,613.4
1/31/2011,600.36
12/31/2010,593.97
11/30/2010,555.71
10/29/2010,613.7
9/30/2010,525.79
8/31/2010,450.02
7/30/2010,484.85
6/30/2010,444.95
5/28/2010,485.63
4/30/2010,525.695
3/31/2010,567.12
2/26/2010,526.8
1/29/2010,529.944
12/31/2009,619.98
11/30/2009,583
10/30/2009,536.12
9/30/2009,495.85
8/31/2009,461.67
7/31/2009,443.05
6/30/2009,421.59
5/29/2009,417.23
4/30/2009,395.97
3/31/2009,348.06
2/27/2009,337.99
1/30/2009,338.53
12/31/2008,307.65
11/28/2008,292.96
10/31/2008,359.36
9/30/2008,400.52
8/29/2008,463.29
7/31/2008,473.75
6/30/2008,526.42
5/30/2008,585.8
4/30/2008,574.29
3/31/2008,440.47
2/29/2008,471.18
1/31/2008,564.3
12/31/2007,691.48
11/30/2007,693
10/31/2007,707
9/28/2007,567.27
8/31/2007,515.25
7/31/2007,510
6/29/2007,522.7001
5/31/2007,497.909
4/30/2007,471.38
3/30/2007,458.16
2/28/2007,449.45
1/31/2007,501.5
12/29/2006,460.48
11/30/2006,484.81
10/31/2006,476.39
9/29/2006,401.9
8/31/2006,378.53
7/31/2006,386.6
6/30/2006,419.33
5/31/2006,371.82
4/28/2006,417.94
3/31/2006,390
2/28/2006,362.62
1/31/2006,432.6601
12/30/2005,414.86
11/30/2005,404.9125
10/31/2005,372.14
9/30/2005,316.46
8/31/2005,286
7/29/2005,287.76
6/30/2005,294.15
5/31/2005,277.27
4/29/2005,220
3/31/2005,180.51
2/28/2005,187.99
1/31/2005,195.62
12/31/2004,192.79
11/30/2004,181.98
10/29/2004,190.64
9/30/2004,129.6
