date,close
10/30/2020,202.47
9/30/2020,210.33
8/31/2020,225.53
7/31/2020,205.01
6/30/2020,203.51
5/29/2020,183.25
4/30/2020,179.21
3/31/2020,157.71
2/28/2020,162.01
1/31/2020,170.23
12/31/2019,157.7
11/29/2019,151.38
10/31/2019,143.37
9/30/2019,139.03
8/30/2019,137.86
7/31/2019,136.27
6/28/2019,133.96
5/31/2019,123.68
4/30/2019,130.6
3/29/2019,117.94
2/28/2019,112.03
1/31/2019,104.43
12/31/2018,101.57
11/30/2018,110.89
10/31/2018,106.81
9/28/2018,114.37
8/31/2018,112.33
7/31/2018,106.08
6/29/2018,98.61
5/31/2018,98.84
4/30/2018,93.52
3/29/2018,91.27
2/28/2018,93.77
1/31/2018,95.01
12/29/2017,85.54
11/30/2017,84.17
10/31/2017,83.18
9/29/2017,74.49
8/31/2017,74.77
7/31/2017,72.7
6/30/2017,68.93
5/31/2017,69.84
4/28/2017,68.46
3/31/2017,65.86
2/28/2017,63.98
1/31/2017,64.65
12/30/2016,62.14
11/30/2016,60.26
10/31/2016,59.92
9/30/2016,57.6
8/31/2016,57.46
7/29/2016,56.68
6/30/2016,51.17
5/31/2016,53
4/29/2016,49.87
3/31/2016,55.23
2/29/2016,50.88
1/29/2016,55.09
12/31/2015,55.48
11/30/2015,54.35
10/30/2015,52.64
9/30/2015,44.2
8/31/2015,43.52
7/31/2015,46.7
6/30/2015,44.15
5/29/2015,46.86
4/30/2015,48.64
3/31/2015,40.655
2/27/2015,43.85
1/30/2015,40.4
12/31/2014,46.45
11/28/2014,47.81
10/31/2014,46.95
9/30/2014,46.36
8/29/2014,45.43
7/31/2014,43.16
6/30/2014,41.7
5/30/2014,40.94
4/30/2014,40.4
3/31/2014,40.99
2/28/2014,38.31
1/31/2014,37.84
12/31/2013,37.41
11/29/2013,38.13
10/31/2013,35.405
9/30/2013,33.28
8/30/2013,33.4
7/31/2013,31.84
6/28/2013,34.545
5/31/2013,34.9
4/30/2013,33.1
3/28/2013,28.605
2/28/2013,27.8
1/31/2013,27.45
12/31/2012,26.7097
11/30/2012,26.615
10/31/2012,28.54
9/28/2012,29.76
8/31/2012,30.82
7/31/2012,29.47
6/29/2012,30.59
5/31/2012,29.19
4/30/2012,32.015
3/30/2012,32.255
2/29/2012,31.74
1/31/2012,29.53
12/30/2011,25.96
11/30/2011,25.58
10/31/2011,26.63
9/30/2011,24.89
8/31/2011,26.6
7/29/2011,27.4
6/30/2011,26
5/31/2011,25.01
4/29/2011,25.92
3/31/2011,25.39
2/28/2011,26.58
1/31/2011,27.725
12/31/2010,27.91
11/30/2010,25.2575
10/29/2010,26.665
9/30/2010,24.49
8/31/2010,23.465
7/30/2010,25.81
6/30/2010,23.01
5/28/2010,25.8
4/30/2010,30.535
3/31/2010,29.2875
2/26/2010,28.67
1/29/2010,28.18
12/31/2009,30.48
11/30/2009,29.41
10/30/2009,27.73
9/30/2009,25.72
8/31/2009,24.65
7/31/2009,23.52
6/30/2009,23.77
5/29/2009,20.89
4/30/2009,20.26
3/31/2009,18.37
2/27/2009,16.15
1/30/2009,17.1
12/31/2008,19.44
11/28/2008,20.22
10/31/2008,22.33
9/30/2008,26.69
8/29/2008,27.29
7/31/2008,25.72
6/30/2008,27.51
5/30/2008,28.32
4/30/2008,28.52
3/31/2008,28.38
2/29/2008,27.1999
1/31/2008,32.6
12/31/2007,35.6
11/30/2007,33.6
10/31/2007,36.81
9/28/2007,29.46
8/31/2007,28.73
7/31/2007,28.99
6/29/2007,29.47
5/31/2007,30.6901
4/30/2007,29.94
3/30/2007,27.87
2/28/2007,28.17
1/31/2007,30.86
12/29/2006,29.86
11/30/2006,29.36
10/31/2006,28.71
9/29/2006,27.35
8/31/2006,25.7
7/31/2006,24.06
6/30/2006,23.3
5/31/2006,22.65
4/28/2006,24.15
3/31/2006,27.21
2/28/2006,26.87
1/31/2006,28.15
12/30/2005,26.15
11/30/2005,27.68
10/31/2005,25.7
9/30/2005,25.73
8/31/2005,27.38
7/29/2005,25.61
6/30/2005,24.84
5/31/2005,25.8
4/29/2005,25.3
3/31/2005,24.17
2/28/2005,25.16
1/31/2005,26.28
12/31/2004,26.72
11/30/2004,26.81
10/29/2004,27.97
9/30/2004,27.65
8/31/2004,27.3
7/30/2004,28.49
6/30/2004,28.56
5/28/2004,26.23
4/30/2004,26.13
3/31/2004,24.93
2/27/2004,26.53
1/30/2004,27.65
12/31/2003,27.37
11/28/2003,25.71
10/31/2003,26.14
9/30/2003,27.8
8/29/2003,26.52
7/31/2003,26.41
6/30/2003,25.64
5/30/2003,24.61
4/30/2003,25.57
3/31/2003,24.21
2/28/2003,23.7
1/31/2003,47.46
12/31/2002,51.7
11/29/2002,57.68
10/31/2002,53.47
9/30/2002,43.74
8/30/2002,49.08
7/31/2002,47.98
6/28/2002,54.7
5/31/2002,50.91
4/30/2002,52.26
3/28/2002,60.31
2/28/2002,58.34
1/31/2002,63.71
12/31/2001,66.25
11/30/2001,64.21
10/31/2001,58.15
9/28/2001,51.17
8/31/2001,57.05
7/31/2001,66.19
6/29/2001,73
5/31/2001,69.18
4/30/2001,67.75
3/30/2001,54.69
2/28/2001,59
1/31/2001,61.06
12/29/2000,43.38
11/30/2000,57.38
10/31/2000,68.87
9/29/2000,60.31
8/31/2000,69.81
7/31/2000,69.81
6/30/2000,80
5/31/2000,62.56
4/28/2000,69.75
3/31/2000,106.25
2/29/2000,89.37
1/31/2000,97.87
12/31/1999,116.75
