date,close
11/2/2020,33.78
11/2/2020,33.78
10/30/2020,33.86
9/30/2020,34.75
8/31/2020,36
7/31/2020,31.38
6/30/2020,34.61
5/29/2020,28.04
4/30/2020,29.58
3/31/2020,31.55
2/28/2020,61.59
1/31/2020,74.8
12/31/2019,88.09
11/29/2019,92.8
10/31/2019,90.84
9/30/2019,88.41
8/30/2019,84.31
7/31/2019,91.91
6/28/2019,87.55
5/31/2019,77.65
4/30/2019,88.86
3/29/2019,79.78
2/28/2019,87.81
1/31/2019,87.27
12/31/2018,83.73
11/30/2018,96.7
10/31/2018,85.51
9/28/2018,89.06
8/31/2018,87.42
7/31/2018,80.4
6/29/2018,69.73
5/31/2018,69.59
4/30/2018,67.54
3/29/2018,69.47
2/28/2018,67.79
1/31/2018,67.82
12/29/2017,67.4
11/30/2017,63.32
10/31/2017,58.48
9/29/2017,60.88
8/31/2017,61.96
7/31/2017,67.68
6/30/2017,75.25
5/31/2017,79.67
4/28/2017,70.21
3/31/2017,70.64
2/28/2017,74.09
1/31/2017,70.47
12/30/2016,72.88
11/30/2016,68.95
10/31/2016,56.23
9/30/2016,52.47
8/31/2016,50.41
7/29/2016,46.89
6/30/2016,41.04
5/31/2016,45.09
4/29/2016,45.81
3/31/2016,59.86
2/29/2016,57.26
1/29/2016,48.28
12/31/2015,57.3
11/30/2015,55.73
10/30/2015,60.31
9/30/2015,53.05
8/31/2015,56.97
7/31/2015,56.39
6/30/2015,53.01
5/29/2015,54.59
4/30/2015,59.74
3/31/2015,67.25
2/27/2015,65.18
1/30/2015,69.37
12/31/2014,66.89
11/28/2014,61.23
10/31/2014,52.81
9/30/2014,46.79
8/29/2014,47.61
7/31/2014,46.39
6/30/2014,41.07
5/30/2014,44.37
4/30/2014,40.87
3/31/2014,44.63
2/28/2014,44.96
1/31/2014,45.84
12/31/2013,37.83
11/29/2013,39.25
10/31/2013,33.95
9/30/2013,30.71
8/30/2013,28.46
7/31/2013,34.85
6/28/2013,31.29
5/31/2013,32.46
4/30/2013,32.3
3/28/2013,32.01
2/28/2013,26.71
1/31/2013,24.15
12/31/2012,23.38
11/30/2012,20.22
10/31/2012,19.21
9/28/2012,19.5
8/31/2012,18.45
7/31/2012,18.89
6/29/2012,24.33
5/31/2012,25.17
4/30/2012,21.92
3/30/2012,21.5
2/29/2012,20.65
1/31/2012,23.1
12/30/2011,18.87
11/30/2011,17.97
10/31/2011,19.32
9/30/2011,19.38
8/31/2011,18.59
7/29/2011,18.12
6/30/2011,22.63
5/31/2011,24.15
4/29/2011,22.82
3/31/2011,22.99
2/28/2011,24.04
1/31/2011,25.4
12/31/2010,23.82
11/30/2010,27.68
10/29/2010,29.04
9/30/2010,23.66
8/31/2010,21.2025
7/30/2010,23.74
6/30/2010,20.56
5/28/2010,20.01
4/30/2010,21.5975
3/31/2010,19.5525
2/26/2010,17.15
1/29/2010,12.23
12/31/2009,12.91
11/30/2009,7.76
10/30/2009,6.51
9/30/2009,9.22
8/31/2009,6.23
7/31/2009,4.12
6/30/2009,3.19
5/29/2009,4.65
4/30/2009,4.92
3/31/2009,4.48
2/27/2009,4.91
1/30/2009,9.44
12/31/2008,11.02
11/28/2008,11.25
10/31/2008,14.56
9/30/2008,8.79
8/29/2008,11.11
7/31/2008,8.31
6/30/2008,5.22
5/30/2008,8.54
4/30/2008,14.9
3/31/2008,21.53
2/29/2008,30.3
1/31/2008,37.95
12/31/2007,35.66
11/30/2007,40.94
10/31/2007,47.9
9/28/2007,46.53
8/31/2007,47.47
7/31/2007,44.14
6/29/2007,40.59
5/31/2007,39.26
4/30/2007,33.4
3/30/2007,38.17
2/28/2007,39.99
1/31/2007,43.2
12/29/2006,44
11/30/2006,40.58
10/31/2006,35.94
9/29/2006,26.57
8/31/2006,25
7/31/2006,26.14
6/30/2006,31.02
5/31/2006,29.43
4/28/2006,36.01
3/31/2006,39.93
