fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
6/30/2020,USD,2.58314E+11,None,None,354000000,1.41788E+11,73728000000,None,8997000000,5000000,38998000000,14764000000,14751000000,15101000000,37466000000,93896000000,None,None,-1455000000,86517000000,1.10908E+11,None,1.01775E+11,33925000000,19918000000,33128000000,19599000000,84899000000,None,None,5000000,None,38998000000,-1837000000,None,46138000000,None,1.47406E+11,42798000000,33128000000,14764000000,47892000000,None,None,None,38017000000,2.58314E+11,71391000000,None,501000000
3/31/2020,USD,2.21238E+11,None,None,282000000,1.15666E+11,65272000000,None,8864000000,5000000,33755000000,12518000000,14739000000,16456000000,27201000000,79711000000,None,None,-2063000000,77779000000,85985000000,None,90833000000,22091000000,17836000000,23437000000,18857000000,70847000000,None,None,5000000,None,33755000000,-1837000000,None,42735000000,None,1.35253E+11,40300000000,23437000000,12518000000,35955000000,None,None,None,35412000000,2.21238E+11,49292000000,None,499000000
12/31/2019,USD,2.25248E+11,4049000000,None,276000000,1.23397E+11,62060000000,None,8190000000,5000000,31220000000,12171000000,14754000000,10096000000,36092000000,87812000000,1307000000,1307000000,-986000000,72705000000,96334000000,2169000000,87097000000,18929000000,20816000000,23414000000,20497000000,79622000000,None,None,5000000,None,31220000000,-1837000000,None,41455000000,None,1.28914E+11,39791000000,23414000000,12171000000,35585000000,None,None,None,33658000000,2.25248E+11,55021000000,None,498000000
9/30/2019,USD,1.99099E+11,None,None,257000000,1.05533E+11,56508000000,None,7381000000,5000000,27952000000,10925000000,14734000000,13115000000,23255000000,72136000000,2841000000,2841000000,-1429000000,67662000000,79054000000,1420000000,78832000000,20146000000,16887000000,22472000000,18766000000,64755000000,None,None,5000000,None,27952000000,-1837000000,None,37649000000,None,1.20045E+11,37058000000,22472000000,10925000000,33397000000,None,None,None,31817000000,1.99099E+11,43401000000,None,495000000
6/30/2019,USD,1.91351E+11,None,None,418000000,1.03156E+11,53061000000,None,7475000000,5000000,25818000000,10149000000,14727000000,11961000000,22616000000,69678000000,1636000000,1636000000,-960000000,64723000000,76790000000,1501000000,73468000000,18847000000,16747000000,23329000000,18580000000,62203000000,None,None,5000000,None,25818000000,-1837000000,None,35111000000,None,1.14561E+11,35134000000,23329000000,10149000000,33478000000,None,None,None,30035000000,1.91351E+11,41463000000,None,494000000
3/31/2019,USD,1.78102E+11,None,None,359000000,96417000000,48410000000,None,7298000000,5000000,23193000000,9400000000,14708000000,12070000000,23115000000,63695000000,1608000000,1608000000,-1010000000,61048000000,69431000000,594000000,66977000000,13905000000,15979000000,23322000000,16432000000,56397000000,None,None,5000000,None,23193000000,-1837000000,None,32915000000,None,1.08671E+11,33275000000,23322000000,9400000000,32722000000,None,None,None,28059000000,1.78102E+11,37020000000,None,492000000
12/31/2018,USD,1.62648E+11,4110000000,None,418000000,1.19099E+11,43549000000,None,30199000000,5000000,19625000000,10921000000,14548000000,6652000000,31750000000,68391000000,1371000000,1371000000,-1035000000,61797000000,75101000000,440000000,29001000000,9500000000,16677000000,23495000000,17174000000,38192000000,None,None,5000000,None,19625000000,-1837000000,None,11202000000,None,87547000000,None,23495000000,27213000000,50708000000,None,None,None,26791000000,1.62648E+11,41250000000,None,491000000
9/30/2018,USD,1.43695E+11,14553000000,None,604000000,1.0457E+11,39125000000,0,24420000000,5000000,16616000000,9362000000,14553000000,10665000000,20425000000,55324000000,44000000,44000000,-1034000000,58019000000,59885000000,573000000,24572000000,9340000000,14258000000,24684000000,15862000000,30904000000,0,0,5000000,0,16616000000,-1837000000,None,11238000000,None,83810000000,None,24684000000,24562000000,49246000000,None,None,None,25375000000,1.43695E+11,29765000000,None,489000000
6/30/2018,USD,1.341E+11,13944000000,None,707000000,99105000000,34995000000,1200000000,23144000000,5000000,13733000000,9466000000,13944000000,10330000000,19823000000,50801000000,31000000,31000000,-934000000,54768000000,54481000000,577000000,21051000000,7227000000,12607000000,24638000000,14824000000,27657000000,0,0,5000000,0,13733000000,-1837000000,None,10907000000,None,79619000000,None,24638000000,23666000000,48304000000,None,None,None,24028000000,1.341E+11,27050000000,None,487000000
3/31/2018,USD,1.26362E+11,13388000000,None,2740000000,94899000000,31463000000,1100000000,22873000000,5000000,11199000000,8914000000,13388000000,23202000000,16676000000,48045000000,53000000,53000000,-467000000,52331000000,50829000000,497000000,18075000000,8287000000,12026000000,24640000000,13840000000,25172000000,0,0,5000000,0,11199000000,-1837000000,None,9814000000,None,75533000000,None,24640000000,22214000000,46854000000,None,None,None,22563000000,1.26362E+11,24963000000,None,485000000
