fiscalDateEnding,accountsPayable,accumulatedAmortization,accumulatedDepreciation,additionalPaidInCapital,capitalLeaseObligations,capitalSurplus,cash,cashAndShortTermInvestments,commonStock,commonStockSharesOutstanding,commonStockTotalEquity,currentLongTermDebt,deferredLongTermAssetCharges,deferredLongTermLiabilities,earningAssets,goodwill,intangibleAssets,inventory,liabilitiesAndShareholderEquity,longTermDebt,longTermInvestments,negativeGoodwill,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,otherNonCurrentLiabilities,otherNonCurrrentAssets,otherShareholderEquity,preferredStockRedeemable,preferredStockTotalEquity,propertyPlantEquipment,reportedCurrency,retainedEarnings,retainedEarningsTotalEquity,shortTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiabilities,totalLongTermDebt,totalNonCurrentAssets,totalNonCurrentLiabilities,totalPermanentEquity,totalShareholderEquity,treasuryStock,warrants
2020-06-30,41597000000,None,None,None,13180000000,None,17742000000,121080000000,55937000000,681215000,55937000000,None,None,1797000000,None,20824000000,1697000000,815000000,278492000000,2963000000,12961000000,None,21595000000,184801000000,3626000000,5579000000,2061000000,12785000000,21697000000,93046000000,-296000000,None,None,90315000000,USD,151681000000,151681000000,None,103338000000,278492000000,149069000000,43658000000,71170000000,4018000000,895000000,27512000000,None,207322000000,None,None
2020-03-31,38251000000,None,None,None,12844000000,53687316030,19644000000,117229000000,53688000000,683972000,53688000000,None,None,2079000000,None,20734000000,1840000000,889000000,273403000000,3960000000,12367000000,None,23735000000,181085000000,3478000000,5165000000,1938000000,14063000000,22460000000,90714000000,-1097000000,None,None,87966000000,USD,151068000000,151068000000,None,97585000000,273403000000,147018000000,40189000000,69744000000,5016000000,730000000,29555000000,None,203659000000,None,None
2019-12-31,43313000000,None,None,None,12009000000,50551311670,18498000000,119675000000,50552000000,688335000,50552000000,None,None,1701000000,None,20624000000,1979000000,999000000,275909000000,3958000000,13078000000,None,27492000000,178839000000,3063000000,4412000000,1908000000,14478000000,22991000000,86929000000,-1232000000,None,None,84587000000,USD,152122000000,152122000000,None,101177000000,275909000000,152578000000,45221000000,74467000000,4554000000,721000000,29246000000,None,201442000000,None,None
2019-09-30,37545000000,None,None,None,9792000000,49039309090,16032000000,121177000000,49040000000,690906000,49040000000,None,None,1747000000,None,18069000000,1747000000,1401000000,263044000000,3956000000,12488000000,None,21081000000,175153000000,2789000000,4699000000,1679000000,15103000000,23022000000,12566000000,-1196000000,None,None,69252000000,USD,147125000000,147125000000,None,105145000000,263044000000,148358000000,39224000000,68075000000,4082000000,564000000,28851000000,None,194969000000,None,None
2019-06-30,35283000000,None,None,None,9208000000,47936304440,16587000000,121056000000,47937000000,694050000,47937000000,1064000000,None,1892000000,None,18000000000,1902000000,964000000,257101000000,3954000000,12112000000,None,21317000000,172290000000,3046000000,4100000000,1717000000,14747000000,21943000000,12174000000,-1091000000,None,None,64891000000,USD,145346000000,145346000000,1064000000,104469000000,257101000000,147437000000,37000000000,64909000000,4074000000,585000000,27909000000,None,192192000000,None,None
2019-03-31,33243000000,None,None,None,8320000000,46531305220,19148000000,113488000000,46532000000,694782000,46532000000,1142000000,None,1282000000,None,17943000000,2063000000,1053000000,245349000000,3952000000,14474000000,None,19260000000,163466000000,3297000000,4406000000,1667000000,14695000000,21619000000,11384000000,-1780000000,None,None,60528000000,USD,138720000000,138720000000,1142000000,94340000000,245349000000,138207000000,34910000000,61877000000,4066000000,750000000,26967000000,None,183472000000,None,None
2018-12-31,32836000000,None,None,None,None,45048304440,16701000000,109140000000,45049000000,695556000,45049000000,None,None,1264000000,None,17888000000,2220000000,1107000000,232792000000,3950000000,13859000000,None,21193000000,157520000000,3430000000,4236000000,1784000000,16532000000,15268000000,2693000000,-2306000000,None,None,59719000000,USD,134885000000,134885000000,None,92439000000,232792000000,135676000000,34620000000,55164000000,4012000000,737000000,20544000000,None,177628000000,None,None
2018-09-30,29549000000,None,None,0,None,None,13443000000,106416000000,43111000000,695957000,43111000000,None,None,1318000000,None,17895000000,2448000000,1212000000,221538000000,3948000000,12673000000,None,18067000000,149497000000,3520000000,4007000000,1752000000,16411000000,15093000000,2838000000,-1676000000,None,0,55300000000,USD,128405000000,128405000000,None,92973000000,221538000000,129702000000,31301000000,51698000000,3986000000,682000000,20397000000,0,169840000000,0,None
2018-06-30,28189000000,None,None,0,None,None,14148000000,102254000000,42243000000,695946000,42243000000,3981000000,None,479000000,None,17895000000,2662000000,698000000,211610000000,3947000000,11487000000,None,17244000000,141443000000,3737000000,3961000000,1714000000,15726000000,15247000000,3052000000,-1525000000,None,0,51672000000,USD,121282000000,121282000000,3981000000,88106000000,211610000000,124157000000,29903000000,49610000000,3981000000,685000000,19707000000,0,162000000000,0,None
2018-03-31,22469000000,None,None,0,None,None,12658000000,102885000000,41487000000,694945000,41487000000,5302000000,None,709000000,None,17862000000,2809000000,636000000,206935000000,3944000000,10976000000,None,16814000000,140154000000,2682000000,3426000000,1596000000,16743000000,16034000000,2004000000,-670000000,None,0,48845000000,USD,120008000000,120008000000,1329000000,90227000000,206935000000,123761000000,25394000000,46110000000,3973000000,678000000,20716000000,0,160825000000,0,None
2017-12-31,22751000000,None,None,0,None,None,10715000000,101871000000,40247000000,694783000,40247000000,3969000000,None,770000000,None,16747000000,2692000000,749000000,197295000000,3969000000,7813000000,None,18705000000,133063000000,30604000000,2983000000,1432000000,16211000000,15871000000,2672000000,-992000000,None,0,42383000000,USD,113247000000,113247000000,3969000000,91156000000,197295000000,124308000000,24183000000,44793000000,3969000000,680000000,20610000000,0,152502000000,0,None
2017-09-30,19424000000,None,None,0,None,None,10581000000,100143000000,39609000000,694790000,39609000000,3964000000,None,497000000,None,16731000000,2883000000,765000000,189536000000,3964000000,7269000000,None,15577000000,137486000000,30071000000,2860000000,1269000000,7628000000,7282000000,2683000000,-746000000,None,0,40120000000,USD,118237000000,118237000000,3964000000,89562000000,189536000000,119345000000,20693000000,32436000000,3964000000,505000000,11743000000,0,157100000000,0,None
2017-06-30,17459000000,None,None,0,None,None,15711000000,94713000000,38509000000,692876000,38509000000,3955000000,None,714000000,None,16604000000,2933000000,398000000,178621000000,3955000000,6642000000,None,14877000000,128749000000,28559000000,2398000000,1226000000,7326000000,6981000000,2004000000,-1728000000,None,0,37676000000,USD,111505000000,111505000000,3955000000,79002000000,178621000000,112386000000,18685000000,30335000000,3955000000,376000000,11650000000,0,148286000000,0,None
2017-03-31,14108000000,None,None,0,None,None,18132000000,92439000000,37698000000,692108000,37698000000,None,365000000,927000000,None,16547000000,3137000000,280000000,172756000000,3937000000,6131000000,None,12969000000,125265000000,28026000000,3106000000,1148000000,8010000000,7687000000,1846000000,-2169000000,None,0,35936000000,USD,109420000000,109420000000,None,74307000000,172756000000,108794000000,15256000000,27807000000,3937000000,63962000000,12551000000,0,144949000000,0,None
