fiscalDateEnding,reportedCurrency,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
6/30/2020,USD,3.01311E+11,7038000000,None,11482000000,1.83007E+11,1.18304E+11,204000000,10027000000,80552000000,34566000000,34492000000,43351000000,13138000000,13576000000,72310000000,3749000000,3749000000,3186000000,52904000000,1.81915E+11,2965000000,67915000000,1.22951E+11,32011000000,59578000000,1895000000,12530000000,None,None,80552000000,None,34566000000,None,None,13138000000,None,1.19396E+11,7671000000,59578000000,10632000000,1.10697E+11,None,None,None,33233250000,3.01311E+11,1.36527E+11,None,7571000000
3/31/2020,USD,2.85449E+11,6855000000,None,8536000000,1.70948E+11,1.14501E+11,185000000,9151000000,79813000000,32012000000,33991000000,42064000000,13696000000,11710000000,58707000000,3748000000,3748000000,2676000000,49669000000,1.70505E+11,2660000000,65582000000,1.25916E+11,22699000000,62862000000,1644000000,9246000000,None,None,79813000000,None,32012000000,None,None,13696000000,None,1.14944E+11,7248000000,62862000000,9673000000,1.12241E+11,None,None,None,32375500000,2.85449E+11,1.37626E+11,None,7590000000
12/31/2019,USD,2.82794E+11,7126000000,None,7473000000,1.72685E+11,1.10109E+11,222000000,9131000000,79625000000,30739000000,34225000000,42248000000,14630000000,8864000000,59640000000,6247000000,6247000000,-255000000,48961000000,1.67074E+11,2755000000,60735000000,1.25389E+11,23525000000,63361000000,1823000000,8811000000,None,None,79625000000,None,30739000000,None,None,14630000000,None,1.1572E+11,7172000000,63361000000,9658000000,1.13045E+11,None,None,None,32056250000,2.82794E+11,1.34253E+11,None,7611000000
9/30/2019,USD,2.78955E+11,7508000000,None,7551000000,1.72894E+11,1.06061E+11,234000000,8507000000,78882000000,27240000000,34178000000,42113000000,14455000000,13117000000,58118000000,3017000000,3017000000,-61000000,46299000000,1.65896E+11,2684000000,56440000000,1.23519E+11,19087000000,66478000000,2622000000,8574000000,None,None,78882000000,None,27240000000,None,None,14455000000,None,1.13059E+11,6659000000,66478000000,8826000000,1.14776E+11,None,None,None,31169500000,2.78955E+11,1.36636E+11,None,7634000000
6/30/2019,USD,2.86556E+11,7750000000,None,10146000000,1.84226E+11,1.0233E+11,233000000,9351000000,78520000000,24150000000,35699000000,42026000000,14723000000,11356000000,69420000000,5516000000,5516000000,-340000000,36477000000,1.75552E+11,2649000000,52554000000,1.22463E+11,29524000000,66662000000,2063000000,9382000000,None,None,78520000000,None,24150000000,None,None,14723000000,None,1.11004E+11,6188000000,66662000000,7581000000,1.14806E+11,None,None,None,28840500000,2.86556E+11,1.33819E+11,None,7643000000
3/31/2019,USD,2.63281E+11,8103000000,None,7049000000,1.68417E+11,94864000000,1838000000,32088000000,77791000000,18338000000,36471000000,41861000000,10258000000,11212000000,53861000000,6515000000,6515000000,-1265000000,33648000000,1.59887E+11,2403000000,44900000000,1.20406E+11,19269000000,66585000000,1951000000,15258000000,None,None,77791000000,None,18338000000,None,None,17379000000,None,1.03394E+11,5972000000,66585000000,46133000000,1.14556E+11,None,None,None,29878500000,2.63281E+11,1.31618E+11,None,7666000000
12/31/2018,USD,2.58859E+11,8482000000,None,7571000000,1.66731E+11,92128000000,2062000000,32582000000,77556000000,16585000000,36112000000,41577000000,10129000000,6638000000,50318000000,3516000000,3516000000,-2013000000,32717000000,1.56874E+11,2274000000,42069000000,1.21024E+11,19680000000,69653000000,1961000000,14220000000,None,None,77556000000,None,16585000000,None,None,16935000000,None,1.01985E+11,None,69653000000,44698000000,1.16413E+11,None,None,None,29537250000,2.58859E+11,1.27662E+11,None,7683000000
9/30/2018,USD,2.57619E+11,7579000000,None,7311000000,1.71652E+11,85967000000,1977000000,34657000000,71303000000,17279000000,35519000000,35855000000,9792000000,15137000000,56277000000,6497000000,6497000000,-2615000000,31430000000,1.64195E+11,2034000000,42533000000,1.20743E+11,17390000000,69733000000,3614000000,15123000000,0,0,71303000000,0,17279000000,0,None,16526000000,None,93424000000,None,69733000000,43665000000,1.15375E+11,None,None,None,None,2.57619E+11,1.3588E+11,None,7680000000
6/30/2018,USD,2.58848E+11,8053000000,None,6751000000,1.7613E+11,82718000000,541000000,37649000000,71223000000,13682000000,35707000000,35683000000,7442000000,11946000000,58488000000,3998000000,5397000000,-2187000000,29460000000,1.69662E+11,1862000000,38982000000,1.21822E+11,26481000000,72242000000,2662000000,16841000000,0,0,71223000000,0,13682000000,0,None,14128000000,None,89186000000,None,72242000000,44859000000,1.17642E+11,None,None,None,None,2.58848E+11,1.33768E+11,None,7677000000
3/31/2018,USD,2.45497E+11,8544000000,None,5097000000,1.66258E+11,79239000000,5002000000,28870000000,70418000000,9974000000,34327000000,35582000000,54050000000,9221000000,46133000000,3677000000,4829000000,-1153000000,27929000000,1.56659E+11,2818000000,35113000000,1.23049E+11,17208000000,73480000000,2084000000,13586000000,0,0,70418000000,0,9974000000,0,None,13965000000,None,88838000000,None,73480000000,41643000000,1.20125E+11,None,None,None,None,2.45497E+11,1.3227E+11,None,7690000000
12/31/2017,USD,2.56003E+11,9034000000,None,4422000000,1.77643E+11,78360000000,5686000000,29096000000,70192000000,8567000000,33624000000,35355000000,55317000000,12859000000,58099000000,15912000000,4789000000,-399000000,26304000000,1.67633E+11,3961000000,33971000000,1.29921E+11,18428000000,73348000000,2003000000,13091000000,0,0,70192000000,0,8567000000,0,None,13716000000,None,88370000000,None,73348000000,40510000000,1.19544E+11,None,None,None,None,2.56003E+11,1.4278E+11,None,7705000000
9/30/2017,USD,2.49097E+11,9598000000,None,4788000000,1.5945E+11,89647000000,7639000000,30298000000,69419000000,19702000000,17172000000,35389000000,56413000000,6884000000,51615000000,9220000000,2302000000,526000000,24809000000,1.61031E+11,5343000000,44660000000,1.31587E+11,14561000000,76255000000,3211000000,12097000000,0,0,69419000000,0,19702000000,0,None,12927000000,None,88066000000,None,76255000000,23941000000,1.07835E+11,None,None,None,None,2.49097E+11,1.38471E+11,None,7720000000
6/30/2017,USD,2.41086E+11,10106000000,None,4897000000,1.68692E+11,72394000000,10908000000,40382000000,69315000000,2648000000,25161000000,35122000000,57501000000,7663000000,64527000000,10121000000,2472000000,431000000,23734000000,1.59851E+11,6023000000,27166000000,1.25318E+11,19792000000,76073000000,2181000000,14024000000,0,0,69315000000,0,2648000000,0,None,6250000000,None,81235000000,None,76073000000,17184000000,1.04165E+11,None,None,None,None,2.41086E+11,1.32981E+11,None,7708000000
3/31/2017,USD,2.25017E+11,10547000000,None,5434000000,1.55288E+11,69729000000,9680000000,32543000000,68554000000,531000000,24896000000,34668000000,56742000000,6713000000,52005000000,7786000000,7786000000,644000000,21962000000,1.46313E+11,7381000000,24514000000,1.19305E+11,12882000000,76222000000,1979000000,11676000000,0,0,68554000000,0,531000000,0,None,4146000000,None,78704000000,None,76222000000,17381000000,1.03283E+11,None,None,None,None,2.25017E+11,1.26018E+11,None,7723000000
12/31/2016,USD,2.2461E+11,11001000000,None,5864000000,1.55801E+11,68809000000,9728000000,32773000000,68177000000,120000000,23075000000,34524000000,58282000000,8468000000,70787000000,25664000000,25664000000,512000000,21379000000,1.44949E+11,8912000000,23284000000,1.14313E+11,14343000000,59306000000,1961000000,12350000000,0,0,68177000000,0,120000000,0,None,3845000000,None,79661000000,None,59306000000,15980000000,85014000000,None,None,None,None,2.2461E+11,1.22781E+11,None,7730000000
9/30/2016,USD,2.12524E+11,3522000000,None,6726000000,1.42152E+11,70372000000,8848000000,33427000000,67747000000,944000000,20624000000,17907000000,35391000000,13928000000,58810000000,14536000000,14536000000,1681000000,19224000000,1.57909E+11,10486000000,48943000000,1.23004E+11,11129000000,60154000000,3122000000,10847000000,0,0,67747000000,0,944000000,0,None,3476000000,None,54615000000,None,60154000000,14340000000,83342000000,None,None,None,None,2.12524E+11,1.36932E+11,None,7784000000
6/30/2016,USD,1.93694E+11,3733000000,None,5892000000,1.21697E+11,71997000000,7917000000,33417000000,68178000000,2282000000,19320000000,17872000000,35678000000,6510000000,59357000000,12904000000,54541000000,1537000000,18356000000,1.3966E+11,10431000000,50392000000,1.0673E+11,18277000000,40783000000,2251000000,13036000000,0,0,68178000000,0,2282000000,0,None,3642000000,None,54034000000,None,40783000000,13640000000,62340000000,None,None,None,None,1.93694E+11,1.1324E+11,None,7808000000
3/31/2016,USD,1.81869E+11,4459000000,None,6598000000,1.07063E+11,74806000000,7691000000,26763000000,68012000000,4954000000,19139000000,17948000000,36617000000,7170000000,44354000000,5498000000,None,1840000000,16831000000,1.28421E+11,11315000000,52399000000,98382000000,13821000000,40896000000,2450000000,12093000000,0,0,68012000000,0,4954000000,0,None,2895000000,None,53448000000,None,40896000000,14122000000,62709000000,None,None,None,None,1.81869E+11,1.05552E+11,None,7870000000
