time,Open,High,Low,Close,Volume
2016-11-08 00:00:00-05:00,58.52,59.45,57.84,59.29,3058243
2016-11-09 00:00:00-05:00,58.24,60.36,57.8,60.11,4442704
2016-11-10 00:00:00-05:00,60.43,61.6,59.785,59.915,4726191
2016-11-11 00:00:00-05:00,59.85,60.26,58.78,60.245,4379069
2016-11-14 00:00:00-05:00,60.54,62.94,60.37,62.935,5311345
2016-11-15 00:00:00-05:00,65.47,67.7,63.47,66.06,9302903
2016-11-16 00:00:00-05:00,65.75,66.66,64.9,65.52,4149041
2016-11-17 00:00:00-05:00,65.62,68.02,65.51,67.86,4122616
2016-11-18 00:00:00-05:00,67.92,68.47,67.24,68.3,4114490
2016-11-21 00:00:00-05:00,68.22,69.29,67.76,69.01,5012936
2016-11-22 00:00:00-05:00,69.11,70.15,69.0,69.51,4396721
2016-11-23 00:00:00-05:00,69.35,69.98,68.83,69.87,3278862
2016-11-25 00:00:00-05:00,69.81,70.18,69.55,70.06,1213258
2016-11-28 00:00:00-05:00,69.95,70.15,68.61,69.27,2671547
2016-11-29 00:00:00-05:00,69.17,70.15,68.94,69.73,1837130
2016-11-30 00:00:00-05:00,68.51,69.69,67.58,68.96,3217887
2016-12-01 00:00:00-05:00,68.67,69.87,68.3,68.47,2714912
2016-12-02 00:00:00-05:00,69.07,69.76,68.54,69.28,2091325
2016-12-05 00:00:00-05:00,69.91,69.95,68.0,68.25,2567118
2016-12-06 00:00:00-05:00,69.41,71.04,69.01,70.9641,3807049
2016-12-07 00:00:00-05:00,70.68,73.0,70.25,72.44,3163382
2016-12-08 00:00:00-05:00,72.46,73.08,71.5,72.74,2345262
2016-12-09 00:00:00-05:00,75.0,76.13,74.435,75.17,4486506
2016-12-12 00:00:00-05:00,74.3,74.355,72.69,73.25,2640349
2016-12-13 00:00:00-05:00,73.38,73.98,72.1442,72.55,2303607
2016-12-14 00:00:00-05:00,72.6,74.0,72.0,72.93,2884542
2016-12-15 00:00:00-05:00,73.82,76.8,73.82,74.79,4136127
2016-12-16 00:00:00-05:00,74.91,76.2,74.06,74.37,3112705
2016-12-19 00:00:00-05:00,74.25,75.38,73.77,74.48,2169242
2016-12-20 00:00:00-05:00,75.32,76.3098,74.78,76.06,2038305
2016-12-21 00:00:00-05:00,75.73,76.1,75.16,75.74,1279027
2016-12-22 00:00:00-05:00,75.62,75.73,73.8,74.1903,1745669
2016-12-23 00:00:00-05:00,74.4,74.8266,74.13,74.77,882743
2016-12-27 00:00:00-05:00,74.78,75.22,74.5,74.63,865079
2016-12-28 00:00:00-05:00,75.0,75.18,73.35,73.535,1599520
2016-12-29 00:00:00-05:00,73.53,74.19,72.93,73.29,1028295
2016-12-30 00:00:00-05:00,73.43,73.43,72.37,72.9,1216899
2017-01-03 00:00:00-05:00,73.93,74.02,72.15,72.7,2018503
2017-01-04 00:00:00-05:00,72.39,73.79,72.39,73.0,1767392
2017-01-05 00:00:00-05:00,71.99,73.0,70.31,70.93,2797693
2017-01-06 00:00:00-05:00,70.98,71.89,69.75,71.38,3179453
2017-01-09 00:00:00-05:00,71.06,72.0,70.88,71.29,1571409
2017-01-10 00:00:00-05:00,71.47,74.34,71.44,73.67,2733941
2017-01-11 00:00:00-05:00,75.51,76.75,74.945,75.04,4466547
2017-01-12 00:00:00-05:00,74.61,75.64,72.9,74.01,3555036
2017-01-13 00:00:00-05:00,74.03,74.75,73.89,74.3,1748209
2017-01-17 00:00:00-05:00,73.94,75.09,73.55,73.77,2521075
2017-01-18 00:00:00-05:00,72.97,74.93,72.41,73.99,3971823
2017-01-19 00:00:00-05:00,74.06,74.84,73.255,74.02,2153621
2017-01-20 00:00:00-05:00,74.3,75.48,74.09,75.25,2342544
2017-01-23 00:00:00-05:00,74.66,75.09,72.6363,72.75,2410713
2017-01-24 00:00:00-05:00,73.08,73.58,72.66,73.15,2197554
2017-01-25 00:00:00-05:00,73.58,74.6,73.04,73.59,1936796
2017-01-26 00:00:00-05:00,74.47,76.0,74.12,75.4,3499642
2017-01-27 00:00:00-05:00,75.75,75.98,74.04,74.42,3838243
2017-01-30 00:00:00-05:00,72.99,72.99,70.0,71.7,3416680
2017-01-31 00:00:00-05:00,71.78,71.78,69.34,70.48,4114958
2017-02-01 00:00:00-05:00,70.95,71.86,70.69,71.48,2966123
2017-02-02 00:00:00-05:00,70.73,72.34,70.55,72.15,2633587
2017-02-03 00:00:00-05:00,72.53,73.25,72.05,73.07,2193871
2017-02-06 00:00:00-05:00,73.4,74.78,72.78,73.5,2567587
2017-02-07 00:00:00-05:00,73.96,74.0,71.25,71.3,4026790
2017-02-08 00:00:00-05:00,71.5,71.765,70.73,71.72,2049339
2017-02-09 00:00:00-05:00,71.38,73.3,71.23,72.97,3228957
